"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Low-Cost, Precision, Self-Alignment Technique for Coupling Laser and Photodiode Arrays to Polymer Waveguide Arrays on Multilayer PCBs","I. Papakonstantinou; D. R. Selviah; R. C. A. Pitwon; D. Milward","Department of Electronic and Electrical Engineering, University College, London, UK; Department of Electronic and Electrical Engineering, University College, London, UK; Xyratex Technology Limited, Hampshire, UK; Xyratex Technology Limited, Hampshire, UK","IEEE Transactions on Advanced Packaging","8 Aug 2008","2008","31","3","502","511","The first, to our knowledge, passive, precision, self-alignment technique for direct coupling of vertical cavity surface emitting laser (VCSEL) and photodiode (PD) arrays to an array of polymer buried channel waveguides on a rigid printed circuit board (PCB) is reported. It gives insertion losses as good as the best achieved previously, to within experimental measurement accuracy, but without the need for costly active alignment nor waveguide facet polishing and so is a major step towards a commercially realizable low cost connector. Such an optical connector with four duplex channels each operating at 10 Gb/s (80 Gb/s aggregate) was designed, constructed, and its alignment precision assessed. The alignment technique is applicable to polymer waveguide interconnections on both rigid and flexible multilayer printed circuit boards (PCBs). The dependence of optical coupling loss on misalignments in , and of the VCSEL and PD arrays allows the precision of alignment to be assessed and its reproducibility on multiple mating cycles of the connector is reported. The first recorded measurements of crosstalk between waveguides when the connector is misaligned are reported. Lateral misalignments of the connector to within its tolerance are shown to have no effect on the signal to crosstalk ratio (SCR), to within experimental measurement accuracy. The insertion loss repeatability is similar to that of single mode fiber mechanically transferable (MT) connectors.","1557-9980","","10.1109/TADVP.2008.924243","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4534823","Alignment tolerances;optical connectors;optical interconnections;optical waveguide crosstalk;polymer waveguides","Optical arrays;Optical coupling;Waveguide lasers;Photodiodes;Polymers;Nonhomogeneous media;Optical waveguides;Connectors;Vertical cavity surface emitting lasers;Surface emitting lasers","integrated optics;laser cavity resonators;optical communication equipment;optical couplers;optical crosstalk;optical fibre communication;optical interconnections;optical losses;optical polymers;optical waveguides;photodiodes;surface emitting lasers","vertical cavity surface emitting laser;photodiode arrays;polymer buried channel waveguides;rigid printed circuit board;insertion losses;waveguide facet polishing;optical connector;polymer waveguide interconnections;flexible multilayer printed circuit boards;optical coupling loss;VCSEL;signal crosstalk ratio;insertion loss repeatability;single mode fiber mechanically transferable connectors","","36","6","25","","30 May 2008","","","IEEE","IEEE Journals"
"Rapid Laser Annealing of Silver Electrodes for Printing Organic Thin-Film Transistors on Plastic Substrates","K. Huang; F. Dai; Q. Sun; T. Yang; H. Xu; X. Liu; T. Minari; M. Kanehara; C. Liu","State Key Laboratory ofOptoelectronic Materials and Technologies, School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, Chin; State Key Laboratory ofOptoelectronic Materials and Technologies, School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, Chin; World Premier International Center for Materials Nanoarchitectonics (WPI-MANA), NIMS, Tsukuba, Japan; State Key Laboratory ofOptoelectronic Materials and Technologies, School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, Chin; State Key Laboratory ofOptoelectronic Materials and Technologies, School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, Chin; Center for Functional Sensor and Actuator (CFSN), National Institute for Materials Science (NIMS), Tsukuba, Japan; World Premier International Center for Materials Nanoarchitectonics (WPI-MANA), NIMS, Tsukuba, Japan; C-INK Co., Ltd., Sojya-shi, Japan; State Key Laboratory ofOptoelectronic Materials and Technologies, School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, Chin","IEEE Transactions on Electron Devices","15 May 2019","2019","66","6","2729","2734","The rapid sintering of printable metal nanoparticle inks is vital for the industrial mass production of electronic devices. In this paper, we report a rapid laser annealing method for printed Ag nanoparticle-based inks. We also fabricate Ag circuits and organic thin-film transistors (OTFTs) on flexible plastic substrates through spontaneous patterning under deep ultraviolet (DUV) exposure. Compared to the conventional thermal annealing, laser annealing significantly reduces the processing time from 3600 to 10 s while preventing damage caused by excessive heat. The OTFT with laser-annealed Ag source/drain electrodes achieved good performance with saturated mobility of 1.68 cm2·V-1·s-1, high-reliability factor of 86.75%, and large saturated drain current resulting from the small channel resistance. This rapid laser annealing method is feasible for printing flexible electronics using metal nanoparticlebased inks in industrial mass production.","1557-9646","","10.1109/TED.2019.2911310","Guangdong Science and Technology Department(grant numbers:2015B090924001); Guangdong Natural Science Funds for Distinguished Young Scholars(grant numbers:2016A030306046); Guangdong Youth Top-notch Talent Support Program(grant numbers:2016TQ03X648); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8700208","Laser annealing;organic transistors;printed electronics;thin-film transistors","Annealing;Lasers;Substrates;Printing;Organic thin film transistors;Ink","electrodes;flexible electronics;laser beam annealing;organic semiconductors;sintering;thin film transistors","silver electrodes;rapid sintering;printable metal nanoparticle inks;OTFT;flexible plastic substrates;deep ultraviolet exposure;rapid laser annealing;organic thin-film transistors;plastic substrates;spontaneous patterning;flexible electronics","","3","","28","IEEE","26 Apr 2019","","","IEEE","IEEE Journals"
"Ultrafast low-temperature-grown epitaxial GaAs photodetectors transferred on flexible plastic substrates","M. Mikulics; R. Adam; M. Marso; A. Forster; P. Kordos; H. Luth; S. Wu; X. Zheng; R. Sobolewski","Institute of Thin Films and Interfaces, Research Centre Jülich, CNGC, Julich, Germany; Institute of Thin Films and Interfaces, Research Centre Jülich, CNGC, Julich, Germany; Institute of Thin Films and Interfaces, Research Centre Jülich, CNGC, Julich, Germany; Institute of Thin Films and Interfaces, Research Centre Jülich, CNGC, Julich, Germany; Institute of Thin Films and Interfaces, Research Centre Jülich, CNGC, Julich, Germany; Institute of Thin Films and Interfaces, Research Centre Jülich, CNGC, Julich, Germany; Department of Electrical and Computer Engineering, Department of Physics and Astronomy, University of Rochester, Rochester, NY, USA; Department of Electrical and Computer Engineering, University of Rochester, Rochester, NY, USA; Institute of Physics, Polish Academy of Sciences, Warszawa, Poland","IEEE Photonics Technology Letters","25 Jul 2005","2005","17","8","1725","1727","We demonstrate low-temperature (LT)-grown GaAs photodetectors transferred on flexible polyethylene terephthalate (PET) plastic substrates. The LT-GaAs layer was patterned into 20×20 μm2 chips, which after placing on the PET substrates were integrated with coplanar strip transmission lines. The devices exhibit low dark currents (/spl les/2×10/sup -8/ A), subpicosecond photoresponse time, and signal amplitudes up to /spl sim/0.9 V at the bias voltage of /spl les/80 V and under laser beam excitation power of /spl les/8 mW at 810-nm wavelength. At the highest bias (/spl sim/80 V) level, an increase of the response time (up to 1.3 ps) was observed and attributed to the influence of heating effects due to low thermal conductivity of PET. Our LT-GaAs-on-PET photodetectors withstand hundredfold mechanical bending of the substrate and are intended for applications in hybrid optoelectronic circuits fabricated on noncrystalline substrates, in terahertz imaging, and in biology-related current-excitation tests.","1941-0174","","10.1109/LPT.2005.851025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1471789","Flexible;liftoff technique;low-temperature-grown epitaxial GaAs (LT-GaAs);photodetector;plastic substrate","Gallium arsenide;Photodetectors;Plastics;Substrates;Positron emission tomography;Thermal conductivity;Circuit testing;Polyethylene;Strips;Power transmission lines","gallium arsenide;III-V semiconductors;photodetectors;semiconductor growth;strip lines;transmission lines;dark conductivity;thermal conductivity","ultrafast low-temperature-grown epitaxy;GaAs Photodetectors;flexible polyethylene terephthalate substrates;coplanar strip transmission lines;dark currents;photoresponse time;laser beam excitation power;thermal conductivity;mechanical bending;810 nm;20 mum;GaAs","","18","","11","IEEE","25 Jul 2005","","","IEEE","IEEE Journals"
"Nondestructive Laser Debonding of Designable Responsive and Buffer Layers for Wafer Level Packaging","F. Wang; Q. Liu; X. Wang; J. Li; G. Zhang; R. Sun","Chinese Academy of Sciences, Shenzhen Institute of Advanced Electronic Materials Shenzhen Institute of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institute of Advanced Electronic Materials Shenzhen Institute of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institute of Advanced Electronic Materials Shenzhen Institute of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institute of Advanced Electronic Materials Shenzhen Institute of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institute of Advanced Electronic Materials Shenzhen Institute of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institute of Advanced Electronic Materials Shenzhen Institute of Advanced Technology, Shenzhen, China","2022 23rd International Conference on Electronic Packaging Technology (ICEPT)","9 Sep 2022","2022","","","1","4","The advancements in the semiconductor industry driven by IoT, automotive advancements, communications and virtual requirements require the development of advanced wafer-level packaging (WLP) processes for ultra-thin device and system integration. The trend towards extreme thinning of device wafers in WLP processes is driving the need for temporary carrier technology. With the advantages of large area, non-contact, high efficiency and controllability, laser debonding technology has become an emerging key technology in the semiconductor industry. Because the redistribution layer is immediately on top of the debonding layer, minimizing the forces during debonding is critical to maintaining the integrity of ultrathin wafers. However, slight device damage and degradation of device characteristics during laser debonding remain unsolved due to the laser-induced transient high temperature and shock wave effects. Herein, we demonstrate a novel non-destructive laser debonding process for advanced WLP by rationally designing responsive layers, buffer layers, and bonding layers. The research results show that the decomposition of a-Si:H in the response layer can be selectively induced by UV laser to generate molten polysilicon and release H2 rapidly. The resulting shock wave effect rapidly expands the exfoliation layer, effectively separating the device wafer from the glass carrier. During laser debonding, the buffer layer compensates for internal stress, thermal damage, and optical damage, protecting the ultra-thin device wafer from any structural damage (such as cracks, chips, or stick marks) caused by transient high temperatures and shock waves. By precisely controlling the input of laser energy and designing appropriate response layers and buffer layers, ultra-thin device wafers can be protected from any structural damage, making them highly possible in the field of advanced integrated circuit and conformal chip array manufacturing. We believe that these encouraging results motivate us to make a leap forward in the field of advanced flexible electronic packaging.","","978-1-6654-9905-7","10.1109/ICEPT56209.2022.9873356","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9873356","temporary bonding/debonding;laser debonding;structural design;wafer level packaging","Buffer layers;Shock waves;Semiconductor lasers;Packaging;Thermal conductivity;Wafer scale integration;Manufacturing","laser materials processing;shock wave effects;wafer bonding;wafer level packaging","laser-induced transient high temperature;shock wave effects;buffer layers;UV laser;exfoliation layer;buffer layer compensates;structural damage;laser energy;advanced integrated circuit;conformal chip array manufacturing;advanced flexible electronic packaging;semiconductor industry;automotive advancements;advanced wafer-level packaging processes;ultrathin device;temporary carrier technology;redistribution layer;ultrathin wafers;laser debonding layer technology;advanced WLP processes;nondestructive laser debonding process","","","","9","IEEE","9 Sep 2022","","","IEEE","IEEE Conferences"
"An Assessment of µ-Czochralski, Single-Grain Silicon Thin-Film Transistor Technology for Large-Area, Sensor and 3-D Electronic Integration","N. Saputra; M. Danesh; A. Baiano; R. Ishihara; J. R. Long; N. Karaki; S. Inoue","Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands; Frontier Device Research, Seiko Epson Corporation, Nagano, Japan; Frontier Device Research, Seiko Epson Corporation, Nagano, Japan","IEEE Journal of Solid-State Circuits","24 Jun 2008","2008","43","7","1563","1576","Single-grain (SG) thin-film transistors (TFTs) fabricated inside location-controlled silicon grains using the mu-Czochralski method are benchmarked for analog and RF applications. Each silicon grain is defined by excimer laser recrystallization of polysilicon. Thin-film transistors may be fabricated in this manner on silicon or low-cost flexible plastic substrates as processing temperatures remain below 350degC, making the SG-TFT a potential enabling technology for large-area highly integrated electronic systems or systems-in-package with low manufacturing cost. Operational amplifier and voltage reference circuits of varying complexity were designed and measured in order to evaluate the effects of channel position and processing variation on analog circuits. A two-stage telescopic cascode operational amplifier fabricated in an experimental 1.5 mum SG-TFT technology demonstrates a DC gain of 55 dB (unity-gain bandwidth of 6.3 MHz), while a prototype CMOS voltage reference with a power supply rejection ratio (PSRR) of 50 dB is also demonstrated. With fT comparable to single-crystal MOSFETs of comparable gate length, the SG-TFT can also enable RF circuits for wireless applications. A 12 dB gain RF cascode amplifier with on-chip inductors and operating in the 433 MHz ISM band is demonstrated. Excellent agreement with simulations is attained using a modified BSIM-SOI model extracted from measurements of experimental SG-TFT devices.","1558-173X","","10.1109/JSSC.2008.922404","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4550645","Flexible electronic circuits;large area electronics;$\mu $-Czochralski fabrication;operational amplifier;pin diodes;RF amplifiers;single-grain thin-film transistor (SG-TFT);3-D integration;voltage reference","Silicon;Thin film transistors;Radio frequency;Integrated circuit technology;Space technology;Operational amplifiers;Voltage;Gain;Plastics;Substrates","system-in-package;thin film transistors","3D electronic integration;single-grain thin-film transistors;location-controlled silicon grains;mu-Czochralski method;excimer laser recrystallization;flexible plastic substrates;systems-in-package;voltage reference circuits;analog circuits;two-stage telescopic cascode operational amplifier","","17","3","35","","24 Jun 2008","","","IEEE","IEEE Journals"
"Multibranch frequency-selective reflectors and application to tunable single-mode semiconductor lasers","S. E. Miller","Bell Communications Research, Inc., Locust, NJ, USA","Journal of Lightwave Technology","6 Aug 2002","1989","7","4","666","673","Multibranch reflectors (MBRs) are proposed as a flexible wavelength-selective element for optical integrated circuits generally and for tunable single-mode lasers specifically. The undesired recurring peaks of reflectivity obtained with two-branch MBRs are spread out in the spectrum by using three or more branches. Design relations are given for the lengths of an arbitrary number of branches, for the selectivity near the peak response, for the wavelength interval to the nearest undesired peak, and for tuning changes in the various branches. It is shown that an MBR is not sensitive to amplitude differences of the order of 20% between the branches, but requires phase control in order to achieve tuning to a specific wavelength. The effects of semiconductor gain variation with wavelength are obtained from a rate-equation solution including MBR. By changing the semiconductor temperature (gain peak) at the same time as the MBR is tuned, a broad range of tuning without jumps is achievable.<>","1558-2213","","10.1109/50.19093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=19093","","Frequency;Laser tuning;Integrated optics;Optical sensors;Optical variables control;Photonic integrated circuits;Tunable circuits and devices;Reflectivity;Phase control;Temperature distribution","integrated optics;laser tuning;optical elements;semiconductor junction lasers","multibranch frequency-selective reflector;tunable single-mode semiconductor lasers;flexible wavelength-selective element;optical integrated circuits;reflectivity;MBR;phase control;semiconductor gain variation","","6","2","15","","6 Aug 2002","","","IEEE","IEEE Journals"
"Laser processing of polymer layers of laminated and flexible substrates","Z. Illyefalvi-Vivez; R. Berenyi; P. Gordon; J. Pinkola; M. Ruszinko","Budapest University of Technology and Economics; Department of Electronics Technology, Budapest University of Technology and Economics, Hungary, Hungary; Department of Electronics Technology, Budapest University of Technology and Economics, Hungary, Hungary; Department of Electronics Technology, Budapest University of Technology and Economics, Hungary, Hungary; Department of Electronics Technology, Budapest University of Technology and Economics, Hungary, Hungary","53rd Electronic Components and Technology Conference, 2003. Proceedings.","4 Aug 2003","2003","","","142","147","","0569-5503","0-7803-7791-5","10.1109/ECTC.2003.1216269","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1216269","","Polymers;Laser beam cutting;Surface emitting lasers;Laser beams;Drilling;Optical materials;Laser modes;Insulation;Copper;Integrated circuit interconnections","","","","","","8","","4 Aug 2003","","","IEEE","IEEE Conferences"
"Experimental Study on Wavelength Tunability of All-Optical Flip-Flop Based on Multimode-Interference Bistable Laser Diode","K. Takeda; M. Takenaka; T. Tanemura; Y. Nakano","Research Center of Advanced Science and Technology, University of Tokyo, Tokyo, Japan; Department of Electrical Engineering and Information Systems, University of Tokyo, Tokyo, Japan; Tokyo Daigaku, Bunkyo-ku, Tokyo, JP; Tokyo Daigaku, Bunkyo-ku, Tokyo, JP","IEEE Photonics Journal","17 Jul 2009","2009","1","1","40","47","We demonstrate a wavelength-tunable all-optical flip-flop (AOFF) based on a multimode-interference (MMI) bistable laser diode (BLD) with distributed Bragg reflectors (DBRs). The wavelength tuning can be achieved by the band-filling effect and the free-carrier plasma effect with carrier injections to the DBRs. The tuning range of 3.1 nm will enable flexible and reconfigurable design of future photonic integrated circuits (PICs). Since the DBR-MMI-BLD does not require cleaved facets for its operation, multiple AOFFs can be monolithically integrated on a single PIC. In addition, the device has a large operable bandwidth of wider than 34 nm, even when we tune the lasing wavelength. A dynamic flip-flop operation is also demonstrated with rising and falling times of faster than 280 and 228 ps, respectively. No waveform distortion is observed, even when we tune the lasing wavelength.","1943-0655","","10.1109/JPHOT.2009.2025670","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5089469","Fabrication and characterization;integrated photonic system;semiconductor lasers;waveguide device","Flip-flops;Diode lasers;Vertical cavity surface emitting lasers;Distributed feedback devices;Photonics;Laser tuning;Surface emitting lasers;Optical fiber networks;Distributed Bragg reflectors;Circuit optimization","distributed Bragg reflectors;flip-flops;integrated optics;optical bistability;optical logic;semiconductor lasers","wavelength tunability;all optical flip flop;multimode interference bistable laser diode;distributed Bragg reflector;band filling effect;free carrier plasma effect;photonic integrated circuits","","10","3","17","IEEE","19 Jun 2009","","","IEEE","IEEE Journals"
"A precision vertical interconnect technology","M. Greenstein; F. Matta","Hewlett Packard Laboratories, Palo Alto, CA, USA; Hewlett Packard Laboratories, Palo Alto, CA, USA","Ninth IEEE/CHMT International Symposium on Electronic Manufacturing Technology,Competitive Manufacturing for the Next Decade","6 Aug 2002","1990","","","208","215","An interconnection technology is described that utilizes excimer laser drilled vias and computer controlled plating to provide vertical (Z-axis) electrical connections in high-performance flexible circuits. Specifically, solid vias and hemispherical microcontacts are created with a 1- mu m nearest-neighbor height precision for the microcontacts. An architecture with a novel structure is employed to simplify the ground plane connections for impedance controlled flex circuits. The rationale for material and unit-process selection is described. The laser drilling of holes for the vertical interconnects is outlined. The deposition of the metal interconnects is considered. The performance of the resulting structures is characterized. This technology was implemented with a polyimide substrate and nickel contacts.<>","","","10.1109/IEMT9.1990.115008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=115008","","Integrated circuit interconnections;Optical control;Flexible printed circuits;Solids;Computer architecture;Impedance;Flexible electronics;Optical materials;Drilling;Polyimides","electrical contacts;electroplating;laser beam machining;nickel;packaging","vertical interconnect technology;excimer laser drilled vias;computer controlled plating;high-performance flexible circuits;solid vias;hemispherical microcontacts;nearest-neighbor height precision;ground plane connections;impedance controlled flex circuits;unit-process selection;metal interconnects;polyimide substrate;Ni contacts","","","","7","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Dual-PD differential reshaping circuit for multibitrate burst-mode optical signals","S. Kobayashi; M. Hashimoto","NTT Network Innovation Laboratories, NTT Corporation, Kanagawa, Japan; NTT Network Innovation Laboratories, NTT Corporation, Kanagawa, Japan","IEEE Photonics Technology Letters","7 Aug 2002","2002","14","4","528","530","In this letter, we propose a dual-photodiode differential reshaping circuit that supports a wide bit rate range. The circuit, which offers a differential receiving function, can cancel out the influence of the leaked optical power and reshape input data within 1 bit regardless of the bit rate.","1941-0174","","10.1109/68.992600","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=992600","","Bit rate;Optical receivers;Passive optical networks;Optical sensors;Delay effects;Optical pulse generation;Flexible printed circuits;Signal processing;Optical fiber networks;IP networks","photodiodes;optical fibre networks;optical communication equipment;pulse shaping circuits;optical pulse shaping","dual-PD differential reshaping circuit;multi-bitrate burst-mode optical signals;dual-photodiode differential reshaping circuit;bit rate range;differential receiving function;leaked optical power;input data reshaping","","","","8","","7 Aug 2002","","","IEEE","IEEE Journals"
"Benefits of Future GMPLS Controlled Ethernet Switches with Tunable Laser Modules","P. Szegedi","Magyar Telekom-PKI Telecommunications Development Institute, Budapest, Hungary","2006 International Conference on Transparent Optical Networks","20 Nov 2006","2006","4","","18","21","In this paper a new GMPLS controlled optical Ethernet network architecture is proposed, where the GMPLS capable Ethernet switches equipped with tunable laser modules have full control over the wavelengths taken through the underlying dynamic optical core network. This future network architecture has main advantages providing high bandwidth, flexible and cost effective metro Ethernet services. The protocol extensions required by the introduction of Ethernet traffic engineering functions and the application of the new tunable laser technology are discussed in details. Finally, a simple quantitative study proofs the viability of the proposed architecture, and the advantages of a carrier-class end-to-end optical Ethernet solution","2162-7339","1-4244-0235-2","10.1109/ICTON.2006.248507","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4013867","Ethernet services;GMPLS;tunable laser modules","Optical control;Ethernet networks;Tunable circuits and devices;Optical sensors;Optical fiber networks;Protocols;Optical switches;Costs;Multiprotocol label switching;Telecommunication control","laser beam applications;laser tuning;optical communication equipment;optical fibre LAN;optical switches;protocols;telecommunication traffic","GMPLS controlled switches;Ethernet switches;tunable laser modules;Ethernet network architecture;dynamic optical core network;metro Ethernet services;protocol extensions;Ethernet traffic engineering;tunable laser technology;carrier-class optical Ethernet solution;end-to-end optical Ethernet solution","","","","7","","20 Nov 2006","","","IEEE","IEEE Conferences"
"Millimeter-Wave Synthesizer Based on Spectral Filtering of a Phase-Modulated Laser Using a Chirped FBG With Tunable Distributed Phase-Shifts","Y. Kim; A. D. Simard; P. Chretien; S. LaRochelle","Centre doptique, photonique et laser (COPL), Pavillon dOptique-Photonique, Université Laval, Quebec, QUE, Canada; Centre doptique, photonique et laser (COPL), Pavillon dOptique-Photonique, Université Laval, Quebec, QUE, Canada; Centre doptique, photonique et laser (COPL), Pavillon dOptique-Photonique, Université Laval, Quebec, QUE, Canada; Centre doptique, photonique et laser (COPL), Pavillon dOptique-Photonique, Université Laval, Quebec, QUE, Canada","Journal of Lightwave Technology","9 Oct 2009","2009","27","22","5183","5191","We demonstrate a millimeter-wave (mm-wave) synthesizer based on spectral filtering of the plusmn2 harmonics of a phase-modulated (PM) laser. Optical filters with narrow passband, good extinction ratio and tunable peak wavelengths are obtained by introducing distributed phase-shifts in a chirped fiber Bragg grating (CFBG) using current-controlled heating elements. Detailed modeling and analysis of the filter is performed using the effective index model and coupled-mode theory. We present several optimization criteria to customize the grating design and two experimental configurations are tested. The more flexible approach is based on a fiber Mach-Zehnder structure with a tunable phase-shifted CFBG in each arm. We show generation of mm-wave from 33 GHz to 48 GHz, with a maximum frequency limited by the bandwidth of the photodetector.","1558-2213","","10.1109/JLT.2009.2029537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5196820","Fiber Bragg grating;millimeter-wave signals;phase-modulated laser;phase-shifted grating;reconfigurable optical filters","Synthesizers;Filtering;Chirp;Tunable circuits and devices;Fiber gratings;Bragg gratings;Optical filters;Fiber lasers;Optical fiber filters;Power harmonic filters","Bragg gratings;chirp modulation;coupled mode analysis;microwave photonics;millimetre wave generation;optical fibre filters;optical modulation;phase modulation;photodetectors","millimeter-wave synthesizer;spectral filtering;phase-modulated laser;chirped FBG;tunable distributed phase-shift;optical filter;chirped fiber Bragg grating;current-controlled heating elements;effective index model;coupled-mode theory;fiber Mach-Zehnder structure;photodetector;frequency 33 GHz to 48 GHz","","3","","27","IEEE","7 Aug 2009","","","IEEE","IEEE Journals"
"The use of the FPC-laser method for different chip interconnection techniques","G. Azdasht; P. Kasulke; E. Zakel; H. Reichl","Technische der Mikoperipherik, Technische Universität Berlin, Berlin, Germany; Fraunhofer-Einrichtung füir Zuverlässigkeit und Mikrointegration, Berlin, Germany; Fraunhofer-Einrichtung füir Zuverlässigkeit und Mikrointegration, Berlin, Germany; Fraunhofer-Einrichtung füir Zuverlässigkeit und Mikrointegration, Berlin, Germany","Proceedings of 1995 Japan International Electronic Manufacturing Technology Symposium","6 Aug 2002","1995","","","397","402","The reproducibility of the laser connection within micro interconnection technology depends on the absorption quality of the contact material and the thermal interconnection. The Fibre Push Connection System (FPC) allows contacts of high reproducibility due to thermal contact between two parts and the high absorption of the laser energy by this system. The different applications of the FPC-System will be presented. The used metallurgy of contact parts are AuSn/Au and AuSn/Ni. The same machine concept is applied for flip chip on flexible substrates.","","0-7803-3622-4","10.1109/IEMT.1995.541071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=541071","","Fiber lasers;Integrated circuit interconnections;Absorption;Soldering;Tin;Reproducibility of results;Bonding;Joining processes;Copper;Lead","integrated circuit interconnections","FPC laser method;chip interconnection technology;fibre push connection system;thermal contact;energy absorption;metallurgy;flip chip;flexible substrate;AuSn-Au;AuSn-Ni","","5","","13","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Current Carrying Capacity of Inkjet-Printed Nano-Silver Interconnects on Mesoporous PET Substrate","E. M. Abbara; G. S. Khinda; M. Alhendi; R. Alhaidari; F. Alshatnawi; B. Garakani; U. S. Somarathna; M. D. Poliks","Center for Advanced Microelectronics Manufacturing, State University of New York, Binghamton, USA; Center for Advanced Microelectronics Manufacturing, State University of New York, Binghamton, USA; Center for Advanced Microelectronics Manufacturing, State University of New York, Binghamton, USA; Center for Advanced Microelectronics Manufacturing, State University of New York, Binghamton, USA; Center for Advanced Microelectronics Manufacturing, State University of New York, Binghamton, USA; Center for Advanced Microelectronics Manufacturing, State University of New York, Binghamton, USA; Center for Advanced Microelectronics Manufacturing, State University of New York, Binghamton, USA; Center for Advanced Microelectronics Manufacturing, State University of New York, Binghamton, USA","2022 IEEE 72nd Electronic Components and Technology Conference (ECTC)","12 Jul 2022","2022","","","794","800","Conductors are a basic component in any flexible hybrid electronic device. Their electromechanical reliability has been studied, yet very few studies report their thermoelectric behavior. We report the current carrying capacity of an inkjet-printed nano-silver interconnects on mesoporous PET substrate. For this study, the printed interconnects are approximately 100 μm wide, with two different thicknesses: single layer (~650 nm thick) and double layer (~1 μm thick). Samples were sintered with different parameters of oven and laser sintering. The effect of printing and curing parameters on the trace current-carrying capability is evaluated with and without the presence of an encapsulation layer. At the current sweep range of 0.005-0.08A for single layer traces and 0.005-0.17A for double layer traces, results show that the trace resistance slightly increases and then decreases to a minimal value smaller than the initial resistance before dramatically increases indicating substrate damage. The double-layer traces withstand higher current and reach higher temperature than the substrate glass transition point. The oven sintered traces have higher initial resistance than laser sintered samples reflecting the difference in the percentage of solvent content and the microstructure. A drastic decrease in resistance is noticed at low current for the oven sintered samples, but at higher current, both oven and laser sintered traces showed similar behavior. The printed encapsulation layer did not significantly impact the trace behavior. A thermoelectric simulation of the trace joule heating was generated in order to quantify the thermal energy transmitted to the surrounding environment and capture the temperature of the trace surface. The model was compared to the experimental results and showed a good correlation.","2377-5726","978-1-6654-7943-1","10.1109/ECTC51906.2022.00131","Air Force Research Laboratory; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9816636","Inkjet printing;current carrying capacity;flexible electronics;joule heating;mesoporous PET","Resistance;Encapsulation;Ovens;Sintering;Laser sintering;Glass;Mesoporous materials","curing;electrical resistivity;encapsulation;flexible electronics;glass transition;ink jet printing;integrated circuit interconnections;integrated circuit reliability;laser sintering;silver;thermal conductivity","current carrying capacity;inkjet-printed nanosilver interconnects;mesoporous PET substrate;flexible hybrid electronic device;printed interconnects;laser sintering;curing parameters;trace current-carrying capability;current sweep range;single layer traces;double layer traces;trace resistance;substrate damage;double-layer traces;substrate glass transition point;higher initial resistance;laser sintered samples;oven sintered samples;printed encapsulation layer;trace behavior;trace joule heating;trace surface;electromechanical reliability;thermoelectric simulation;size 100.0 mum;size 650.0 nm;size 1.0 mum;wavelength 0.005 A to 0.17 A","","","","24","IEEE","12 Jul 2022","","","IEEE","IEEE Conferences"
